actual_sex	Rx	Ry
male	0.4757	0.139
male	0.4756	0.1199
male	0.4756	0.1238
male	0.4755	0.0714
male	0.4755	0.0972
male	0.4755	0.1229
male	0.4755	0.1262
male	0.4755	0.1345
male	0.4754	0.093
male	0.4754	0.1224
male	0.4754	0.1264
male	0.4754	0.1364
male	0.4754	0.139
male	0.4753	0.1067
male	0.4753	0.1219
male	0.4752	0.1219
male	0.4752	0.1294
male	0.4752	0.1313
male	0.4752	0.2
male	0.4751	0.1007
male	0.4751	0.1232
male	0.4751	0.1245
male	0.4751	0.1245
male	0.475	0.122
male	0.475	0.1232
male	0.475	0.1237
male	0.475	0.1294
male	0.4749	0.0952
male	0.4748	0.0714
male	0.4746	0.1164
male	0.4746	0.121
male	0.4746	0.124
male	0.4745	0.0991
male	0.4745	0.1268
male	0.4745	0.2143
male	0.4744	0.1178
male	0.4744	0.124
male	0.4742	0.0773
male	0.4739	0.1238
male	0.4738	0.1252
male	0.4737	0.1223
male	0.4737	0.1297
male	0.4736	0.1142
male	0.4736	0.1176
male	0.4736	0.1248
male	0.4736	0.1251
male	0.4736	0.1308
male	0.4736	0.25
male	0.4734	0.1818
male	0.4733	0.1143
male	0.4733	0.1198
male	0.4733	0.1667
male	0.473	0.131
male	0.473	0.1315
male	0.4729	0.1176
male	0.4728	0.1155
male	0.4728	0.1202
male	0.4728	0.1202
male	0.4727	0.1535
male	0.4727	0.1667
male	0.4726	0.1615
male	0.4725	0.0732
male	0.4725	0.14
male	0.4724	0.1203
male	0.4724	0.1275
male	0.4723	0.0488
male	0.4723	0.1283
male	0.4722	0.1263
male	0.4722	0.1272
male	0.472	0.1233
male	0.472	0.1318
male	0.4718	0.1216
male	0.4716	0.1286
male	0.4714	0.1915
male	0.4713	0.1028
male	0.471	0.1178
male	0.4708	0.0833
male	0.4705	0.1454
male	0.4704	0.0625
male	0.4704	0.128
male	0.4703	0.0957
male	0.4698	0.1458
male	0.4696	0.1262
male	0.4694	0.125
male	0.4692	0.1221
male	0.4692	0.1287
male	0.4692	0.1364
male	0.4692	0.1532
male	0.4691	0.0991
male	0.4688	0.0588
male	0.4687	0.1333
male	0.4684	0.0874
male	0.4684	0.1544
male	0.4683	0.123
male	0.468	0.1538
male	0.4679	0.2
male	0.4675	0.1349
male	0.4672	0.1276
male	0.4671	0.1257
male	0.467	0.0913
male	0.467	0.1191
male	0.4669	0.0256
male	0.4668	0.1129
male	0.4667	0.1285
male	0.4666	0.1552
male	0.4663	0.1045
male	0.4663	0.1551
male	0.4662	0.1234
male	0.466	0.093
male	0.4656	0.3
male	0.4652	0.1336
male	0.4651	0.3333
male	0.4649	0.1324
male	0.4648	0.1085
male	0.4648	0.125
male	0.4646	0.1095
male	0.4646	0.1234
male	0.4643	0.1288
male	0.4639	0.1396
male	0.4637	0.1319
male	0.4637	0.1343
male	0.4637	0.1379
male	0.4632	0.109
male	0.4629	0.1253
male	0.4628	0.1349
male	0.4626	0.1308
male	0.4626	0.1395
male	0.4623	0.1406
male	0.4623	0.2041
male	0.4622	0.1302
male	0.4617	0.119
male	0.4615	0.1545
male	0.4614	0.1395
male	0.4613	0.1395
male	0.4613	0.1767
male	0.4611	0.1379
male	0.461	0.119
male	0.4608	0.2
male	0.4607	0.12
male	0.4607	0.1366
male	0.4606	0.0913
male	0.4602	0.1176
male	0.4601	0.3125
male	0.4598	0.101
male	0.4595	0.1111
male	0.4595	0.119
male	0.4594	0.128
male	0.4593	0.1232
male	0.4593	0.1273
male	0.4593	0.1429
male	0.4591	0.1435
male	0.459	0.125
male	0.459	0.1556
male	0.4589	0.1392
male	0.4587	0.1176
male	0.4582	0.2667
male	0.4581	0.1644
male	0.4575	0.0526
male	0.4572	0.25
male	0.4566	0.1915
male	0.455	0.1533
male	0.4549	0.128
male	0.4548	0.1315
male	0.4546	0.075
male	0.4545	0.1019
male	0.4545	0.1538
male	0.4544	0.1402
male	0.4539	0.0896
male	0.4539	0.1221
male	0.4531	0.1362
male	0.453	0.1818
male	0.4527	0.1333
male	0.4527	0.2222
male	0.4526	0.2222
male	0.4525	0.1368
male	0.4521	0.1538
male	0.4521	0.25
male	0.452	0.1333
male	0.4519	0.1395
male	0.4518	0.0833
male	0.4514	0.1181
male	0.4511	0.2857
male	0.4507	0.2
male	0.4504	0.1982
male	0.4502	0.1111
male	0.4497	0.1455
male	0.4495	0.2353
male	0.4494	0.1488
male	0.4494	0.2222
male	0.4489	0.1111
male	0.4488	0.2
male	0.4487	0.0963
male	0.4487	0.125
male	0.4487	0.1579
male	0.4484	0.1538
male	0.4483	0.0556
male	0.448	0.1418
male	0.448	0.2222
male	0.4476	0.027
male	0.4468	0.125
male	0.4464	0.2353
male	0.4462	0.1818
male	0.4459	0.1667
male	0.4458	0.1388
male	0.4458	0.1439
male	0.4457	0.125
male	0.4453	0.2128
male	0.4452	0.2
male	0.4447	0.0833
male	0.4446	0.1388
male	0.4445	0.1435
male	0.4435	0.1449
male	0.4435	0.2
male	0.4433	0.1353
male	0.443	0.2222
male	0.4423	0.0979
male	0.4417	0.125
male	0.4417	0.1496
male	0.4413	0.1333
male	0.4406	0.1171
male	0.4406	0.2
male	0.4398	0.1333
male	0.4384	0.1395
male	0.4377	0.1538
male	0.4372	0.1765
male	0.4366	0.0923
male	0.4358	0.2
male	0.4357	0.1429
male	0.4355	0.1538
male	0.4354	0.2
male	0.4352	0.2353
